,Credit_History,Property_Area,Gender_Male,Married_Yes,Loan_Status_Y
0,1.0,2,1,0,1
1,1.0,0,1,1,0
2,1.0,2,1,1,1
3,1.0,2,1,1,1
4,1.0,2,1,0,1
5,1.0,2,1,1,1
6,1.0,2,1,1,1
7,0.0,1,1,1,0
8,1.0,2,1,1,1
9,1.0,1,1,1,0
10,1.0,2,1,1,1
12,1.0,2,1,1,1
13,1.0,0,1,0,0
14,1.0,2,1,1,1
15,1.0,2,1,0,1
17,0.0,2,0,0,0
18,1.0,0,1,1,0
20,0.0,2,1,1,0
21,1.0,2,1,1,1
22,0.0,1,1,1,0
25,1.0,1,1,1,1
26,1.0,1,1,1,1
27,1.0,2,1,1,1
28,1.0,2,1,0,0
31,1.0,2,1,0,0
32,1.0,0,1,0,0
33,1.0,1,1,1,1
34,1.0,0,1,0,0
35,1.0,2,1,1,1
36,0.0,2,1,1,0
37,1.0,1,0,1,1
38,1.0,2,1,0,1
39,1.0,1,1,0,1
40,1.0,2,1,0,0
41,1.0,2,1,0,1
43,1.0,1,1,1,1
44,1.0,2,1,1,1
45,1.0,2,0,0,1
46,1.0,2,1,1,1
47,1.0,2,1,1,1
48,0.0,2,0,1,0
49,1.0,1,0,0,1
50,1.0,1,0,1,1
51,1.0,1,0,0,1
52,1.0,1,0,0,0
53,1.0,2,1,1,0
54,0.0,2,0,1,0
55,1.0,1,1,1,1
56,1.0,1,1,1,1
57,1.0,0,1,1,0
58,1.0,2,1,1,1
59,1.0,2,1,1,1
60,1.0,2,1,1,1
61,1.0,2,1,1,1
62,0.0,0,1,1,0
63,0.0,0,1,1,0
64,0.0,1,0,0,0
65,1.0,1,1,1,0
66,0.0,2,1,0,0
67,1.0,2,1,1,1
68,1.0,2,1,1,1
69,0.0,1,0,0,0
70,1.0,2,1,1,1
71,1.0,1,1,1,1
72,1.0,1,1,0,1
73,0.0,1,1,1,0
74,1.0,1,1,1,1
75,1.0,2,1,0,0
76,1.0,2,1,0,0
77,1.0,2,1,1,0
78,0.0,1,1,1,0
80,1.0,1,0,0,1
81,1.0,1,1,1,1
82,1.0,2,0,1,0
84,1.0,2,1,1,1
85,1.0,1,1,0,1
87,1.0,1,1,1,1
88,1.0,2,1,0,1
89,1.0,1,1,1,1
90,1.0,1,1,1,1
91,1.0,1,1,1,1
92,1.0,2,1,1,1
93,1.0,1,1,0,1
94,1.0,1,1,0,1
96,1.0,1,0,1,1
97,1.0,1,1,1,1
98,1.0,1,1,1,1
99,1.0,1,1,1,1
100,1.0,2,1,1,1
101,1.0,1,1,0,1
103,1.0,1,1,1,1
105,1.0,2,1,1,1
106,1.0,2,1,1,1
108,0.0,2,1,1,0
109,1.0,1,1,1,1
110,1.0,2,1,0,1
112,0.0,0,1,1,0
113,1.0,1,0,0,1
115,1.0,0,1,1,1
116,1.0,1,0,1,1
118,1.0,0,1,1,0
119,1.0,2,0,0,1
121,1.0,1,0,0,1
122,0.0,1,0,0,1
123,1.0,1,1,1,1
124,1.0,0,1,1,1
127,1.0,0,1,0,1
128,0.0,2,1,1,0
131,1.0,2,1,0,1
132,1.0,1,1,0,1
133,1.0,1,1,1,1
134,1.0,1,1,0,1
135,1.0,1,1,1,0
136,1.0,0,0,1,0
137,1.0,2,1,1,1
138,0.0,1,1,0,0
139,1.0,0,1,1,0
140,1.0,0,1,1,0
141,1.0,2,1,0,1
142,1.0,1,1,0,1
143,1.0,1,1,1,1
144,1.0,2,1,1,1
145,1.0,1,0,1,1
146,1.0,2,0,1,1
147,1.0,2,1,1,1
148,1.0,0,0,0,0
149,1.0,1,1,1,1
150,0.0,0,1,0,0
151,1.0,0,1,1,1
152,1.0,2,1,0,0
153,1.0,0,1,1,0
154,1.0,2,1,0,1
155,0.0,1,1,1,1
157,1.0,2,1,1,1
159,1.0,1,1,1,1
160,1.0,1,1,1,1
161,1.0,2,1,1,0
162,0.0,1,1,1,0
163,1.0,0,1,1,1
164,1.0,2,1,1,1
165,1.0,0,1,1,1
166,1.0,0,0,1,0
167,1.0,0,1,1,1
168,0.0,1,1,0,0
169,1.0,1,1,1,1
172,1.0,0,1,1,0
173,1.0,1,1,1,1
174,1.0,1,1,1,0
175,1.0,0,1,1,1
176,1.0,0,1,1,1
177,0.0,1,1,1,0
178,1.0,1,1,1,1
179,0.0,2,1,0,0
180,0.0,2,1,1,0
182,1.0,1,1,1,1
183,1.0,1,1,1,0
184,1.0,1,0,1,1
185,1.0,1,1,1,1
186,0.0,0,1,1,0
189,1.0,0,1,1,1
190,1.0,0,1,0,1
191,1.0,1,1,0,0
192,1.0,2,1,1,0
193,1.0,1,1,0,1
194,1.0,0,1,0,1
195,1.0,1,1,1,0
196,1.0,0,1,0,1
197,1.0,2,0,0,1
199,1.0,2,1,0,0
200,1.0,1,1,1,1
201,0.0,1,1,0,1
202,1.0,2,1,1,0
203,1.0,2,1,1,1
204,1.0,1,1,1,1
205,1.0,1,0,0,1
206,1.0,2,0,0,1
207,1.0,0,1,0,1
208,1.0,2,1,0,1
209,1.0,1,1,0,0
210,1.0,1,0,0,0
